"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16417","TC_2: Verify number of days dropdown interaction","","Wed May 21 08:27:30 COT 2025","passed","Wed May 21 08:27:47 COT 2025","","Validate customization on PDP","",""
"","11852","TC_9: Validate section - Plastic-free commitment","","Wed May 21 08:38:20 COT 2025","passed","Wed May 21 08:38:32 COT 2025","","Home page sections validation","",""
"","19623","TC_4: Validate search destination by clicking the search button (Navigation bar) - Global","","Wed May 21 08:36:04 COT 2025","passed","Wed May 21 08:36:24 COT 2025","","Search destinations flow","",""
"","11981","TC_1: Validate search destination by hitting the enter button (Home page hero) - USA","","Wed May 21 08:33:01 COT 2025","passed","Wed May 21 08:33:13 COT 2025","","Search destinations flow","",""
"","8080","TC_4: Validate remove all quantity of the same product","","Wed May 21 08:44:57 COT 2025","passed","Wed May 21 08:45:05 COT 2025","","Shopping cart actions flow (Open/Close/Add/Remove/Empty)","",""
"","19799","TC_2: Validate add more quantity of the same product","","Wed May 21 08:44:19 COT 2025","passed","Wed May 21 08:44:39 COT 2025","","Shopping cart actions flow (Open/Close/Add/Remove/Empty)","",""
"","590","TC_2: Validate section - Value proposal","","Wed May 21 08:37:47 COT 2025","passed","Wed May 21 08:37:48 COT 2025","","Home page sections validation","",""
"","105113","TC_6: Verify price updates with currency change","","Wed May 21 08:28:39 COT 2025","passed","Wed May 21 08:30:24 COT 2025","","Validate customization on PDP","",""
"","1671","TC_11: Validate section - Download the app","","Wed May 21 08:38:35 COT 2025","passed","Wed May 21 08:38:37 COT 2025","","Home page sections validation","",""
"","22480","TC_7: Verify ""Get unlimited internet"" CTA behavior","","Wed May 21 08:30:26 COT 2025","passed","Wed May 21 08:30:48 COT 2025","","Validate customization on PDP","",""
"","14367","TC_5: Verify switch currency","","Wed May 21 08:28:24 COT 2025","passed","Wed May 21 08:28:39 COT 2025","","Validate customization on PDP","",""
"","22211","TC_1: Validate add to cart by default selection","","Wed May 21 08:40:54 COT 2025","passed","Wed May 21 08:41:16 COT 2025","","Add to cart flow","",""
"","7757","TC_1: Validate Open/Close shopping cart modal","","Wed May 21 08:44:11 COT 2025","passed","Wed May 21 08:44:19 COT 2025","","Shopping cart actions flow (Open/Close/Add/Remove/Empty)","",""
"","9842","TC_1: Validate search destination by hitting the enter button (Home page hero) - Global","","Wed May 21 08:35:18 COT 2025","passed","Wed May 21 08:35:28 COT 2025","","Search destinations flow","",""
"","22693","TC_3: Validate add to cart by HP selection","","Wed May 21 08:41:58 COT 2025","passed","Wed May 21 08:42:21 COT 2025","","Add to cart flow","",""
"","2745","TC_1: Validate section - Hero","","Wed May 21 08:37:44 COT 2025","passed","Wed May 21 08:37:47 COT 2025","","Home page sections validation","",""
"","20506","TC_3: Validate search destination by hitting the enter button (Navigation bar) - Europe","","Wed May 21 08:34:37 COT 2025","passed","Wed May 21 08:34:58 COT 2025","","Search destinations flow","",""
"","18917","TC_4: Validate search destination by clicking the search button (Navigation bar) - Europe","","Wed May 21 08:34:58 COT 2025","passed","Wed May 21 08:35:17 COT 2025","","Search destinations flow","",""
"","15516","TC_2: Validate search destination by clicking the search button (Home page hero) - Europe","","Wed May 21 08:34:21 COT 2025","passed","Wed May 21 08:34:37 COT 2025","","Search destinations flow","",""
"","25569","TC_1: Validate view all destinations flow from different sections","","Wed May 21 08:37:00 COT 2025","passed","Wed May 21 08:37:25 COT 2025","","View all destinations flow","",""
"","15537","TC_3: Verify traveler/eSim increment (+) functionality","","Wed May 21 08:27:47 COT 2025","passed","Wed May 21 08:28:02 COT 2025","","Validate customization on PDP","",""
"","20744","TC_3: Validate search destination by hitting the enter button (Navigation bar) - USA","","Wed May 21 08:33:28 COT 2025","passed","Wed May 21 08:33:49 COT 2025","","Search destinations flow","",""
"","20856","TC_5: Validate search single destination","","Wed May 21 08:36:24 COT 2025","passed","Wed May 21 08:36:45 COT 2025","","Search destinations flow","",""
"","21383","TC_4: Verify traveler decrement (-) functionality","","Wed May 21 08:28:03 COT 2025","passed","Wed May 21 08:28:24 COT 2025","","Validate customization on PDP","",""
"","24661","TC_4: Validate discount code applied in checkout","","Wed May 21 08:43:38 COT 2025","passed","Wed May 21 08:44:03 COT 2025","","Validate Checkout availability","",""
"","11328"," TC_1: Verify default state of the personalization component","","Wed May 21 08:27:18 COT 2025","passed","Wed May 21 08:27:30 COT 2025","","Validate customization on PDP","",""
"","2045","TC_4: Validate section - Refund","","Wed May 21 08:37:50 COT 2025","passed","Wed May 21 08:37:52 COT 2025","","Home page sections validation","",""
"","249608","Validate change to all available languages in PDP","","Wed May 21 08:22:42 COT 2025","passed","Wed May 21 08:26:52 COT 2025","","Changue Language feature flow","",""
"","19671","TC_3: Validate search destination by hitting the enter button (Navigation bar) - Global","","Wed May 21 08:35:44 COT 2025","passed","Wed May 21 08:36:04 COT 2025","","Search destinations flow","",""
"","20899","TC_4: Validate search destination by clicking the search button (Navigation bar) - USA","","Wed May 21 08:33:50 COT 2025","passed","Wed May 21 08:34:11 COT 2025","","Search destinations flow","",""
"","19164","TC_1: Validate checkout form availability","","Wed May 21 08:42:31 COT 2025","passed","Wed May 21 08:42:51 COT 2025","","Validate Checkout availability","",""
"","40761","TC_2: Validate add to cart by custom selection","","Wed May 21 08:41:17 COT 2025","passed","Wed May 21 08:41:57 COT 2025","","Add to cart flow","",""
"","96840","TC_1: Validate all available tabs in navigation bar","","Wed May 21 08:31:01 COT 2025","passed","Wed May 21 08:32:38 COT 2025","","Navigation bar feature flow","",""
"","9594","TC_7: Validate section - Reviews","","Wed May 21 08:38:07 COT 2025","passed","Wed May 21 08:38:16 COT 2025","","Home page sections validation","",""
"","21204","TC_2: Validate filling out checkout form","","Wed May 21 08:42:51 COT 2025","passed","Wed May 21 08:43:12 COT 2025","","Validate Checkout availability","",""
"","120395","TC_1: Validate navigation to country cards in home page - (Top destinations)","","Wed May 21 08:38:43 COT 2025","passed","Wed May 21 08:40:43 COT 2025","","Country card navigation flow - Home Page (Top Destinations)","",""
